subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
273	152	35	0	33	1
273	168	35	0	17	1
273	87	30	0	29	0
273	110	35	0	34	1
273	44	30	0	27	1
273	130	30	0	29	1
273	158	25	0	20	1
273	76	25	0	21	1
273	6	35	0	14	1
273	99	35	0	10	1
273	111	30	0	27	1
273	5	25	0	19	1
273	61	35	0	33	1
273	37	25	0	13	1
273	41	35	0	30	1
273	112	25	0	24	0
273	109	30	0	11	1
273	22	35	0	26	1
273	136	25	0	22	1
273	9	30	0	22	1
273	11	25	0	12	1
628	35	35	0	11	1
628	30	25	0	21	0
628	111	30	0	27	1
628	145	25	0	23	0
628	48	25	0	17	0
628	11	25	0	12	0
628	109	30	0	11	0
628	16	30	0	15	1
628	41	35	0	30	0
628	98	25	0	18	1
628	110	35	0	34	1
628	45	30	0	28	0
628	25	35	0	10	1
628	58	25	0	13	1
628	3	30	0	23	0
628	22	35	0	26	0
628	37	25	0	13	1
628	87	30	0	29	1
628	170	30	0	29	1
628	47	35	0	34	0
628	7	30	0	14	0
628	106	30	0	18	1
628	12	35	0	12	1
628	1	25	0	20	0
628	6	35	0	14	1
628	5	25	0	19	0
628	8	30	0	25	1
628	81	35	0	31	1
628	126	30	0	20	1
628	159	35	0	25	0
628	2	25	0	19	1
628	15	30	0	26	1
628	180	25	0	24	1
628	14	25	0	16	0
628	160	35	0	34	1
628	136	25	0	22	1
628	76	25	0	21	0
628	130	30	0	29	1
628	168	35	0	17	0
628	61	35	0	33	0
628	119	35	0	16	1
628	4	30	0	15	1
628	43	35	0	13	1
628	173	25	0	24	0
628	152	35	0	33	0
628	9	30	0	22	1
514	4	30	0	15	1
514	160	35	0	34	1
514	112	25	0	24	1
514	168	35	0	17	1
514	58	25	0	13	1
514	6	35	0	14	1
514	14	25	0	16	1
514	45	30	0	28	0
514	43	35	0	13	1
514	3	30	0	23	1
514	16	30	0	15	1
514	30	25	0	21	0
514	47	35	0	34	0
514	35	35	0	11	1
514	41	35	0	30	1
514	81	35	0	31	0
514	126	30	0	20	1
514	145	25	0	23	0
514	8	30	0	25	1
514	61	35	0	33	0
514	48	25	0	17	0
514	110	35	0	34	0
514	109	30	0	11	1
514	7	30	0	14	1
514	130	30	0	29	1
514	1	25	0	20	1
514	25	35	0	10	1
514	5	25	0	19	1
514	136	25	0	22	0
514	2	25	0	19	1
514	106	30	0	18	1
514	44	30	0	27	1
514	11	25	0	12	1
514	76	25	0	21	0
514	9	30	0	22	1
514	152	35	0	33	0
514	158	25	0	20	1
514	113	30	0	28	1
514	180	25	0	24	0
514	170	30	0	29	1
514	22	35	0	26	1
514	119	35	0	16	0
514	159	35	0	25	0
514	12	35	0	12	1
514	99	35	0	10	0
514	15	30	0	26	0
514	173	25	0	24	0
514	87	30	0	29	1
514	111	30	0	27	1
477	12	35	0	12	1
477	37	25	0	13	1
477	158	25	0	20	0
477	14	25	0	16	1
477	7	30	0	14	0
477	16	30	0	15	1
477	109	30	0	11	0
477	11	25	0	12	1
477	152	35	0	33	0
477	58	25	0	13	1
477	2	25	0	19	1
477	110	35	0	34	1
477	99	35	0	10	1
477	112	25	0	24	0
477	44	30	0	27	1
477	3	30	0	23	0
477	61	35	0	33	1
477	81	35	0	31	1
